id,text
1,i e phue hu peh e peh peh
2,m na si lan hian tai tai gi lang oh thak lian the lai kai e pian tsiah ma hue hue tsit tsiong iong ji huat siunn kue i uat si tsai pot kho tshu
3,hai kuan thong kue liau au tsiah khi hau ki sik sio tan si kan na u khah liong e tang khi se bian sue ke
4,tsing lang thiann han tsing li an ne kong long kuann kin tann thau khuan suann ting tsit e khuann tak ke sim lai long am huah tsit siann gua khoo ah suann e tsiann tshiu ping ua iann kiam tsit puann khi ah
5,oo bat sang li ho li beah e e mih kiann ti tsia
6,iau m koh u lang ui tioh koh jin e li ik lang hon siann beh la sio tsinn
7,in a si tong suan ma e pi iau kiu si hian sing lok ti king tshat kai kik lai kong tse i king si tsit e sing li
8,an ne bin a tsai kam kang khuan si tsit liap tsit kak gin nng liap nng kak gin sann liap tsiah bian tsinn leh u lang an ne mng
9,tit jit pun sa ku lah khui e hit tang tsun khui phiann ang ki ki kai sui
10,bi kok kah iran ma u kiong tong li ik pi lu iran tsi tshi e shia bin ping
11,ling gua king ki i ing bun e ki liau khoo tso tshut lai e gi su tah phue kai su in tt tsi si tai ping su latt kuan su to boh in ui pin lut tsin kuan tsia e gi su e gi su tah phue of loh la loh tb in o ma long pai ti tsiann thau tsing
12,lan tsit tsun khit lok kang ai nng tiam puann tsing
13,thai loo si te hng e kak thau
14,mng kiann kuann hoo ho oo
15,siann mih thau loo e pi tsit lo khah ho
16,hit tui e ang a boo oh e si tsing phai e pu lu suh thiau kah tsiann ho khuann
17,hainn gin a lang u hinn bo tshui m ho oo peh mng
18,na mng kong tsue kin sua loh lai kam pko e u hong thai siong tsioh tsit si goo kang si bo khuann e lah kuan tsiong ping iu ing kai si bian huan lo
19,thing loh lai e si sim lai kam u buan tsiok e kam kak sing khu na kiann liau siunn kin
20,kho ling bo huat too tsun si sit le
21,tsit ma si guan tsu bin tsok gi ng bang bi lai kheh ka gi tai gi long u khi hue
22,koh leh khi sing te ua beh loo si
23,kong ue tiok tsing king m thang hi hi tshio
24,sin niu sin niu sui tang kang khoo te ho ho bo phuah khang sin long pue a phang kuan kuan kiann sun tai tai tiong tsiong guan
25,a me a si beh khi tai pak ah si beh khi tai lam
26,in to si bo ting sop tsiah e tak pai long e lau kau mih kiann
27,thau tsing kong ui tioh pisiat leh sia heo guan na si nua tha on lan to m si to leh goh ah si u iann hiat iau i hiah e tsiong kim
